family,in_ref_db,in_afd,type,Common name
Pthiridae,TRUE,TRUE,Ectoparasitoids of mammals,Lice
Ptiliidae,TRUE,TRUE,General,Small beetles
Ptilodactylidae,TRUE,TRUE,General,Toe winged beetles
Ptinidae,TRUE,TRUE,Includes pests,Wood-boring beetles
Pulicidae,TRUE,TRUE,Ectoparasites,Fleas
Pygidicranidae,TRUE,TRUE,General,Earwigs
Pygiopsyllidae,TRUE,TRUE,Endoparasites of mammals,Fleas
Pyralidae,TRUE,TRUE,Includes pests,Snout moths
Pyrgomorphidae,TRUE,TRUE,General,Grasshoppers
Pyrgotidae,TRUE,TRUE,Endoparasitoids,Picture-winged flies
Pyrochroidae,TRUE,TRUE,General,Fire-coloured beetles
Pyrrhocoridae,TRUE,TRUE,General,Red bugs
Pythidae,TRUE,TRUE,General,Dead log bark beetles
Reduviidae,TRUE,TRUE,Predators,Predator bugs
Rhagionidae,TRUE,TRUE,General,Snipe flies
Rhaphidophoridae,TRUE,TRUE,General,Cave crickets
Rhiniidae,TRUE,TRUE,General,Flies
Rhinophoridae,TRUE,TRUE,General,Woodlouse flies
Rhinotermitidae,TRUE,TRUE,Includes pests,Termites
Rhopalidae,TRUE,TRUE,Includes pests,Scentless plant bugs
Rhopalopsyllidae,TRUE,TRUE,Ectoparasites,Fleas
Rhyparochromidae,TRUE,TRUE,General,Seed bugs 
Ricaniidae,TRUE,TRUE,Insect pests,Planthoppers
Ricinidae,TRUE,TRUE,Ectoparasites of birds,Chewing lice
Riodinidae,TRUE,TRUE,Pollinators,Butterflies
Ripiphoridae,TRUE,TRUE,Hypermetamorphic parasitoids,Wedge-shaped beetles
Roeslerstammiidae,TRUE,TRUE,General,Moths
Saldidae,TRUE,TRUE,General,Shore bugs
Salpingidae,TRUE,TRUE,General,Narrow-waisted bark beetles
Sarcophagidae,TRUE,TRUE,General,Flesh flies
Saturniidae,TRUE,TRUE,General,Moths
Scarabaeidae,TRUE,TRUE,General,Scarab beetles
Scatopsidae,TRUE,TRUE,General,Dung midges
Scelionidae,TRUE,TRUE,Parasitoids,Parasitoid wasps
Scenopinidae,TRUE,TRUE,General,Window flies
Schizopteridae,TRUE,TRUE,General,Small true bugs
Sciaridae,TRUE,TRUE,General,Dark-winged fungus gnats
Sciomyzidae,TRUE,TRUE,Predators,Snail-killing flies
Scirtidae,TRUE,TRUE,General,Marsh beetles
Scolebythidae,TRUE,TRUE,Parasitoids,Parasitoid wasps
Scoliidae,TRUE,TRUE,Pollinators,Flower wasps
Scraptiidae,TRUE,TRUE,Pollinators,False flower beetles
Scutelleridae,TRUE,TRUE,Includes pests,Jewel bugs
Scythrididae,TRUE,TRUE,Includes pests,Small moths
Sepsidae,TRUE,TRUE,General,Black scavenger flies
Sesiidae,TRUE,TRUE,Pollinators,Diurnal moths
Sialidae,TRUE,TRUE,Predators,Alderflies
Signiphoridae,TRUE,TRUE,Parasitoids,Parasitoid wasps
Silphidae,TRUE,TRUE,General,Carrion beetles
Silvanidae,TRUE,TRUE,General,Silvan flat bark beetles
Simuliidae,TRUE,TRUE,Water quality indicator,Black flies
Siricidae,TRUE,TRUE,General,Wood-eating sawflies
Sisyridae,TRUE,TRUE,Predators,Spongeflies
Sphaeriusidae,TRUE,TRUE,Predators,Water beetles
Sphaeroceridae,TRUE,TRUE,General,Small dung flies
Sphecidae,TRUE,TRUE,Pollinators,Sand wasps
Sphindidae,TRUE,TRUE,General,Cryptic slime mould beetles
Sphingidae,TRUE,TRUE,Pollinators,Hawk moths
Spongiphoridae,TRUE,TRUE,General,Earwigs
Staphylinidae,TRUE,TRUE,Predators,Rove beetles
Stenocephalidae,TRUE,TRUE,General,True bugs
Stenopsocidae,TRUE,TRUE,General,Psocoptera
Stenopsychidae,TRUE,TRUE,Water quality indicator,Caddisflies
Stephanidae,TRUE,TRUE,Parasitoids,Crown wasps
Stephanocircidae,TRUE,TRUE,Ectoparasites of rodents,Fleas
Streblidae,TRUE,TRUE,Ectoparasites of bats,Bat flies
Strongylophthalmyiidae,TRUE,TRUE,General,Long-legged flies
Stylopidae,TRUE,TRUE,Parasitoids,Twisted-winged Strepsiptera
Synlestidae,TRUE,TRUE,Predators,Damselflies
Synthemistidae,TRUE,TRUE,Predators,Tigertail dragonflies
Syrphidae,TRUE,TRUE,Pollinators,Hoverflies
Tabanidae,TRUE,TRUE,Includes pests,Horse flies
Tachinidae,TRUE,TRUE,General,Tachinid flies
Tanaostigmatidae,TRUE,TRUE,Parasitoids,Parasitoid wasps
Tanyderidae,TRUE,TRUE,Water quality indicator,Primitive crane flies
Tasimiidae,TRUE,TRUE,Water quality indicator,Trichoptera
Tenebrionidae,TRUE,TRUE,General,Darkling beetles
Tenthredinidae,TRUE,TRUE,General,Sawflies
Tephritidae,TRUE,TRUE,Includes pests,Fruit flies
Termitidae,TRUE,TRUE,Includes pests,Termites
Termopsidae,TRUE,TRUE,Includes pests,Termites
Tessaratomidae,TRUE,TRUE,General,True bugs
Tetracampidae,TRUE,TRUE,Parasitoids,Parasitoid wasps
Tetrigidae,TRUE,TRUE,General,Crickets
Tettigarctidae,TRUE,TRUE,General,Hairy cicadas
Tettigoniidae,TRUE,TRUE,General,Katydids
Thaumaleidae,TRUE,TRUE,General,Solitary midges
Thaumastocoridae,TRUE,TRUE,General,True bugs
Therevidae,TRUE,TRUE,Predators,Flies
Thripidae,TRUE,TRUE,Includes pests,Thrips
Throscidae,TRUE,TRUE,General,False click beetles
Thyrididae,TRUE,TRUE,General,Picture-winged moths
Tineidae,TRUE,TRUE,General,Fungus moths
Tineodidae,TRUE,TRUE,General,False plume moths
Tingidae,TRUE,TRUE,Includes pests,Lace bugs
Tiphiidae,TRUE,TRUE,Parasitoids,Largw wasps
Tipulidae,TRUE,TRUE,Predators,Crane flies
Tortricidae,TRUE,TRUE,Includes pests,Leafroller moths
Torymidae,TRUE,TRUE,Parasitoids,Metallic wasps
Trichoceridae,TRUE,TRUE,General,Winter crane flies
Trichodectidae,TRUE,TRUE,Ectoparasites of mammals,Louse
Trichogrammatidae,TRUE,TRUE,Parasitoids,Small wasps
Trichopsocidae,TRUE,TRUE,General,Small psocopterans
Tridactylidae,TRUE,TRUE,General,Mole crickets
Trigonalidae,TRUE,TRUE,General,Wasps
Trigonidiidae,TRUE,TRUE,General,Crickets
Triozidae,TRUE,TRUE,Include pests,Psyllids
Trogidae,TRUE,TRUE,General,Hide beetles
Trogiidae,TRUE,TRUE,General,Booklice
Trogossitidae,TRUE,TRUE,General,Bark-gnawing beetles
Tropiduchidae,TRUE,TRUE,General,Planthoppers
Tryonicidae,TRUE,TRUE,General,Cockroaches
Ulidiidae,TRUE,TRUE,General,Picture-winged flies
Uraniidae,TRUE,TRUE,Pollinators,Tropical moths
Veliidae,TRUE,TRUE,Predators,Heteropteran bugs
Vespidae,TRUE,TRUE,General,Wasps
Xiphydriidae,TRUE,TRUE,General,Wood wasps
Yponomeutidae,TRUE,TRUE,Includes pests,Ermine moths
Zopheridae,TRUE,TRUE,General,Beetles
Zorotypidae,TRUE,TRUE,General,Angel insects
Zygaenidae,TRUE,TRUE,Pollinators,Burnet moths
